4.822 -3.920 -13.225 -18.276 -27.549
4.985 -3.178 -8.758 -16.027 -26.122
4.612 -2.576 -6.923 -13.143 -24.173
4.125 -1.573 -7.212 -9.710 -21.793
4.092 0.496 -7.042 -6.367 -19.236
4.215 3.131 -4.784 -4.437 -17.825
3.142 4.414 -1.743 -5.189 -19.548
-0.406 2.466 -1.020 -8.727 -25.101
-6.223 -2.603 -4.309 -13.616 -32.359
-12.303 -8.213 -9.843 -17.538 -37.168
-16.150 -11.084 -13.675 -18.642 -36.259
-16.575 -9.793 -13.167 -16.629 -29.830
-14.485 -5.864 -9.351 -12.898 -21.498
-12.010 -2.472 -5.978 -9.623 -15.659
-10.797 -1.941 -6.225 -8.393 -14.541
-10.903 -4.222 -10.087 -9.235 -17.137
-11.108 -7.400 -14.765 -10.667 -20.498
-10.292 -9.573 -17.453 -10.932 -22.075
-8.572 -10.342 -17.857 -9.617 -21.434
-7.155 -10.773 -18.064 -8.257 -20.233
-7.071 -12.132 -20.173 -9.185 -20.680
-8.067 -14.623 -24.112 -13.429 -23.640
-8.822 -17.247 -27.851 -19.513 -27.893
-8.458 -18.897 -29.750 -24.580 -31.341
-7.665 -19.468 -30.469 -26.856 -32.945
-8.180 -19.933 -32.326 -27.107 -33.531
-10.868 -21.118 -36.480 -27.469 -34.519
-14.470 -22.534 -41.095 -28.957 -36.117
-16.536 -22.603 -42.643 -30.287 -36.976
-15.861 -20.313 -39.360 -29.439 -35.895
-13.799 -16.664 -33.240 -26.264 -33.485
-13.009 -14.183 -28.354 -23.131 -31.699
-14.754 -14.659 -26.991 -22.660 -31.690
-17.721 -17.283 -27.675 -24.954 -32.545
-19.639 -19.254 -27.126 -27.437 -32.515
-19.810 -18.478 -24.011 -27.566 -31.305
-19.628 -15.652 -20.447 -25.468 -30.511
-20.493 -13.481 -19.617 -23.545 -31.470
-21.642 -13.735 -22.117 -23.519 -33.153
-20.631 -15.230 -25.011 -24.276 -32.798
-16.144 -14.881 -24.631 -23.035 -28.929
-9.942 -10.843 -20.149 -18.600 -23.373
-5.477 -4.433 -14.144 -12.945 -19.699
-4.539 1.042 -9.927 -9.391 -19.727
-5.561 3.224 -8.606 -9.352 -21.833
-5.506 2.327 -8.933 -11.302 -23.050
-3.333 0.010 -9.674 -12.973 -22.591
-1.104 -2.738 -11.385 -14.098 -22.845
